time(ms),accX(G),accY(G),accZ(G)
450.929,0.98364,-0.0022,0.06372
451.848,0.9751,-0.00952,0.05664
452.767,0.98486,-0.00415,0.06348
453.691,0.9917,0.00146,0.07104
454.609,0.9917,0.00146,0.07104
455.528,0.9939,-0.00366,0.07324
456.454,0.98267,0.00122,0.06543
457.373,0.96069,0.00635,0.05469
458.291,0.9668,0.00464,0.05859
459.21,0.99414,-0.00488,0.06421
460.129,0.99878,-0.00781,0.05444
461.051,0.98071,-0.00464,0.0376
461.97,0.979,-0.00391,0.04102
462.889,0.98608,0.00391,0.06079
463.808,0.98364,0.0083,0.07666
464.73,0.97461,0.00439,0.06885
465.649,0.97217,-0.0022,0.05469
466.568,0.97217,-0.0022,0.05469
467.494,0.99072,-0.00195,0.05957
468.413,0.99805,-0.00073,0.06641
469.331,0.98267,0.00293,0.06421
470.254,0.97046,0.00513,0.05322
471.173,0.97974,0.00513,0.04443
472.091,0.99634,0.00854,0.04688
473.01,0.99023,0.00464,0.05493
473.929,0.97998,0.00098,0.05127
474.848,0.98779,-0.00146,0.05176
475.767,0.99707,-0.00098,0.06689
476.691,0.98145,0.00146,0.06909
477.609,0.95776,0.00049,0.06714
478.528,0.97119,0.00586,0.05908
479.454,0.97119,0.00586,0.05908
480.373,0.99561,0.00366,0.05933
481.291,1.00049,-0.00146,0.06812
482.21,0.9812,0.00366,0.05713
483.129,0.96777,0.00317,0.04346
484.051,0.97314,-0.00098,0.04956
484.97,0.9873,-0.00562,0.05981
485.889,0.99951,-0.01562,0.05762
486.808,0.99023,-0.01807,0.05151
487.73,0.99121,-0.00586,0.04932
488.649,0.98413,0.00171,0.06006
489.568,0.97046,0.00732,0.07056
490.494,0.97388,0.00415,0.06958
491.413,0.97388,0.00415,0.06958
492.331,0.98145,-0.00269,0.06689
493.254,1.00342,0.0022,0.06104
494.173,1.01807,-0.00732,0.05591
495.091,0.9873,-0.01196,0.05664
496.01,0.95288,0.00439,0.05176
496.929,0.95801,0.01514,0.05884
497.848,0.98071,0.0144,0.06714
498.767,1.00391,0.00391,0.0603
499.691,1.00195,-0.00781,0.05151
500.609,0.98657,-0.00732,0.05127
501.528,0.99438,0.00244,0.05151
502.454,0.99414,0.01074,0.05103
503.373,0.99414,0.01074,0.05103
504.291,0.96997,-0.00073,0.05542
505.21,0.979,-0.01001,0.06006
506.129,1.00391,0.00195,0.07202
507.051,0.99097,0.01074,0.07178
507.97,0.96704,0.00977,0.05566
508.889,0.95605,0.00146,0.04932
509.808,0.97437,-0.00757,0.04858
510.73,1.00977,-0.00977,0.052
511.649,1.00488,-0.00537,0.052
512.568,0.97778,-0.00171,0.04346
513.494,0.97144,0.00317,0.04639
514.413,0.97705,0.0105,0.05298
515.331,0.97803,0.00342,0.06152
516.254,0.97803,0.00342,0.06152
517.173,0.98682,-0.00952,0.06274
518.091,0.99194,-0.00806,0.05566
519.01,0.99414,0.00146,0.06567
519.929,1.00391,0.0061,0.07178
520.848,0.97559,-0.00098,0.06226
521.767,0.95215,0.0,0.0459
522.691,0.97485,0.00464,0.0415
523.609,1.00317,0.00122,0.05444
524.528,0.99976,-0.00195,0.05981
525.454,0.98755,-0.01245,0.05298
526.373,0.98364,-0.0144,0.04272
527.291,0.98486,-0.0061,0.05615
528.21,0.98486,-0.0061,0.05615
529.129,0.98389,0.00269,0.07349
530.051,0.96997,0.00049,0.06982
530.97,0.97534,-0.00586,0.06348
531.889,1.00586,-0.00391,0.06152
532.808,1.01343,0.00098,0.06152
533.73,0.98584,0.0022,0.05786
534.649,0.96655,-0.00464,0.05103
535.568,0.97852,0.00269,0.04956
536.494,1.00464,0.00586,0.05469
537.413,0.99634,0.00195,0.06079
538.331,0.96655,0.00317,0.06201
539.254,0.97656,-0.00024,0.05957
540.173,0.97656,-0.00024,0.05957
541.091,1.00122,-0.00146,0.05786
542.01,0.98389,-0.00073,0.06201
542.929,0.9646,-0.00098,0.06714
543.848,0.97998,0.00122,0.05957
544.767,1.00122,0.00122,0.05908
545.691,1.00049,-0.0022,0.06519
546.609,0.97559,-0.00098,0.05811
547.528,0.9585,-0.00049,0.05029
548.454,0.97217,0.00659,0.05835
549.373,0.99316,0.00488,0.06616
550.291,0.98438,-0.00757,0.06201
551.21,0.97632,-0.01831,0.05518
552.129,0.9873,-0.01172,0.04858
553.051,0.9873,-0.01172,0.04858
553.97,0.99609,-0.00098,0.05835
554.889,0.98291,0.00146,0.07007
555.808,0.96362,0.00464,0.06567
556.73,0.97461,-0.00146,0.06445
557.649,0.99414,0.0,0.07007
558.568,0.99561,0.00024,0.06738
559.494,0.98242,-0.00464,0.05054
560.413,0.96338,-0.00415,0.04932
561.331,0.97852,-0.00171,0.06152
562.254,1.01343,-0.00439,0.05762
563.173,1.00049,-0.00171,0.05347
564.091,0.97461,0.00146,0.05396
565.01,0.97461,0.00146,0.05396
565.929,0.98022,0.00439,0.05786
566.848,0.98511,0.00903,0.06372
567.767,0.97388,-0.0022,0.06958
568.691,0.9729,-0.00903,0.06445
569.609,0.98096,-0.00757,0.05078
570.528,0.99414,-0.00513,0.0542
571.454,0.99023,0.00684,0.05591
572.373,0.96338,0.01367,0.04907
573.291,0.95679,0.0105,0.04834
574.21,0.98755,0.00757,0.04712
575.129,1.00757,-0.00659,0.05298
576.051,0.98975,-0.01587,0.052
576.97,0.98975,-0.01587,0.052
577.889,0.98047,-0.00781,0.04663
578.808,0.98022,0.00317,0.05078
579.73,0.98071,0.00635,0.06006
580.649,0.97314,0.00122,0.06616
581.568,0.97021,0.00391,0.06006
582.494,0.98999,0.00195,0.05664
583.413,1.00439,-0.00293,0.05933
584.331,0.99219,-0.00269,0.06104
585.254,0.96753,-0.00464,0.05127
586.173,0.96313,-0.00366,0.04736
587.091,0.97729,-0.00439,0.05591
588.01,0.99707,-0.0022,0.06348
588.929,0.99683,0.00342,0.06079
589.848,0.99683,0.00342,0.06079
590.767,0.98804,0.00854,0.04883
591.691,0.99048,0.00415,0.04834
592.609,1.00146,-0.00415,0.05762
593.528,0.98828,-0.00537,0.06006
594.454,0.96558,-0.00708,0.06421
595.373,0.97729,-0.00171,0.07031
596.291,0.99878,0.00098,0.06836
597.21,0.99463,0.00537,0.05933
598.129,0.95947,0.00537,0.0564
599.051,0.94922,-0.00024,0.05859
599.97,0.98535,-0.00146,0.06201
600.889,1.00488,-0.00781,0.06396
601.808,1.00488,-0.00781,0.06396
602.73,0.99561,-0.01025,0.05249
603.649,0.98682,-0.00391,0.05444
604.568,0.98682,0.00342,0.06299
605.494,0.99609,0.00464,0.0625
606.413,0.98779,0.00073,0.06519
607.331,0.97314,-0.00195,0.06689
608.254,0.98755,0.00146,0.06421
609.173,1.00488,0.00171,0.06543
610.091,0.99756,-0.00293,0.06616
611.01,0.97095,-0.00684,0.05298
611.929,0.95752,-0.00171,0.04785
612.848,0.97119,0.00293,0.06543
613.767,0.97119,0.00293,0.06543
614.691,0.9978,-0.00293,0.073
615.609,0.99854,-0.01025,0.05298
616.528,0.98242,-0.01147,0.0415
617.454,0.98901,-0.00903,0.05469
618.373,0.99512,-0.0061,0.06519
619.291,0.98267,-0.00049,0.06348
620.21,0.96997,0.00024,0.05127
621.129,0.98633,0.00171,0.05249
622.051,1.00635,0.00122,0.07202
622.97,0.99292,0.00415,0.07422
623.889,0.95483,0.00928,0.05859
624.808,0.95239,0.00732,0.04712
625.73,0.99097,-0.00391,0.04858
626.649,0.99097,-0.00391,0.04858
627.568,1.0105,-0.01147,0.05078
628.494,1.00195,-0.01123,0.0481
629.413,0.98364,-0.00317,0.04321
630.331,0.97363,0.01074,0.05029
631.254,0.97437,0.01172,0.06299
632.173,0.96851,0.00635,0.06421
633.091,0.97168,-0.00415,0.0542
634.01,0.98853,-0.01025,0.04736
634.929,0.9978,-0.00757,0.06226
635.848,0.98535,0.00171,0.06226
636.767,0.95776,0.01001,0.0459
637.691,0.95093,0.00757,0.052
638.609,0.95093,0.00757,0.052
639.528,0.98608,0.00439,0.05664
640.454,1.01343,0.0022,0.05371
641.373,0.99341,-0.00415,0.05078
642.291,0.97363,-0.0105,0.04761
643.21,0.98389,-0.00757,0.05518
644.129,0.99976,-0.00537,0.06226
645.051,0.98291,-0.00366,0.05859
645.97,0.97461,0.00415,0.05054
646.889,0.99097,0.00732,0.05298
647.808,0.9939,0.00464,0.06958
648.73,0.98193,0.00342,0.07129
649.649,0.96118,0.00537,0.06128
650.568,0.96118,0.00537,0.06128
651.494,0.95972,0.00464,0.05664
652.413,0.99146,-0.00244,0.05273
653.331,1.00195,-0.01416,0.05127
654.254,0.98755,-0.01807,0.05347
655.173,0.98047,-0.00513,0.05566
